Price,Close,Close,Close,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMT,JNJ,MSFT,PFE,PLD,TGT,WMT,AAPL,AMT,JNJ,MSFT,PFE,PLD,TGT,WMT
Date,,,,,,,,,,,,,,,,
2024-03-05,169.32049560546875,198.6915283203125,154.99755859375,399.5992126464844,24.541763305664062,128.2633056640625,163.5408477783203,59.32887649536133,95132400,2469900,8298200,26919200,73646100,2328800,22986800,19676900
2024-03-06,168.3251953125,199.26220703125,154.3871307373047,399.04345703125,25.586292266845703,128.8831024169922,168.3525848388672,59.85260009765625,68587700,1865400,5773700,22344100,84919500,2245500,8955200,12698700
2024-03-07,168.20574951171875,198.02413940429688,153.93173217773438,406.0400390625,25.20988655090332,128.5538330078125,166.412353515625,59.64508056640625,71765100,2085800,5188700,18718500,46423800,2080400,3644700,16195300
2024-03-08,169.92762756347656,200.51962280273438,154.56153869628906,403.14215087890625,25.61452293395996,130.8103485107422,164.6467742919922,59.40792465209961,76114600,2156000,5283200,17971700,45869300,2942200,3361800,12132000
2024-03-11,171.93814086914062,199.97796630859375,156.21839904785156,401.45501708984375,26.69669532775879,129.89031982421875,163.0460968017578,59.941532135009766,60139500,2006300,4620800,16120800,52600100,2068900,3142400,14154000
2024-03-12,172.41586303710938,197.4921417236328,157.68145751953125,412.13348388671875,26.357927322387695,130.3261260986328,162.56105041503906,60.682647705078125,59825400,1746100,8018700,22457000,48758200,1729200,2292100,16613100
2024-03-13,170.3257598876953,195.7220916748047,156.09242248535156,411.95489501953125,26.555540084838867,129.12521362304688,161.68792724609375,60.5541877746582,52488700,1690400,6260000,17115900,39273000,3061400,5546300,15935200
2024-03-14,172.1869659423828,192.6656036376953,154.2611846923828,421.9981994628906,26.470848083496094,126.62659454345703,159.39849853515625,60.502628326416016,72913500,2010400,6988300,34157300,36428000,3076000,3365900,16584700
2024-03-15,171.80874633789062,190.87619018554688,153.26318359375,413.264892578125,26.292057037353516,125.87535858154297,159.31117248535156,60.16550827026367,121664700,3346800,13165500,45049800,75719200,6698800,5074900,50904600
2024-03-18,172.90357971191406,189.4930419921875,151.8873291015625,414.1580505371094,26.08502960205078,125.01679992675781,162.58042907714844,60.3439826965332,75604200,1833500,6602300,20106000,36226500,2274300,3189600,16801700
2024-03-19,175.25250244140625,190.18946838378906,151.35443115234375,418.2170715332031,26.00033950805664,124.7338638305664,163.18191528320312,60.35390090942383,55215200,1463500,7840600,19837900,29026600,2641200,2290500,12353600
2024-03-20,177.83030700683594,188.25494384765625,150.9184112548828,422.0081481933594,26.066211700439453,125.56315612792969,165.3646697998047,60.73067855834961,53423100,2154800,5982300,17860100,34468000,2565700,2969700,12007600
2024-03-21,170.56460571289062,187.5875701904297,150.90872192382812,426.1167297363281,26.0285701751709,126.72415161132812,165.08331298828125,60.928985595703125,106181300,2658000,5915800,21296200,29633700,3020100,2624300,14265900
2024-03-22,171.4703369140625,186.4752197265625,150.40489196777344,425.49151611328125,25.746267318725586,125.48509216308594,163.58937072753906,60.35390090942383,71106600,2581300,7245400,17636500,28789000,2738500,2443600,14025400
2024-03-25,170.0470733642578,189.1544952392578,150.39520263671875,419.65606689453125,25.812135696411133,124.03141784667969,167.4989013671875,60.05644607543945,54288300,2144800,7498100,18060500,31110600,2472700,4262600,14186600
2024-03-26,168.9124298095703,187.74234008789062,150.9281005859375,418.45526123046875,25.962697982788086,122.08992004394531,167.4794921875,59.9969482421875,57388400,1823400,6864100,16725600,38220300,3567300,3512900,13738300
2024-03-27,172.49549865722656,190.91488647460938,153.05003356933594,418.2369384765625,26.14149284362793,125.71925354003906,169.4488067626953,60.20517349243164,60273300,2494200,8461600,16705000,34247600,3202100,4747100,14363400
2024-03-28,170.67408752441406,191.1179962158203,153.2728729248047,417.53228759765625,26.11326026916504,127.04611206054688,171.9128875732422,59.65983200073242,65672700,2170500,6181500,21871200,40466700,3676100,3716200,17535100
2024-04-01,169.23092651367188,186.68800354003906,152.8756103515625,421.35308837890625,26.08502960205078,124.80216217041016,172.50466918945312,59.491275787353516,46240500,2195800,4364700,16316000,26596600,1762900,3917400,13837600
2024-04-02,168.04649353027344,185.8852081298828,152.82717895507812,418.246826171875,25.92505645751953,122.51920318603516,170.9718780517578,58.65839767456055,49329500,2321300,6102300,17912000,32451500,3187400,3022100,19510100
2024-04-03,168.8527069091797,186.01095581054688,149.4650421142578,417.26434326171875,25.61452293395996,123.01676940917969,170.2443084716797,58.92610549926758,47691700,2270400,8098200,16502300,36828600,3585000,3033900,14615100
2024-04-04,168.026611328125,184.06678771972656,147.759765625,414.71380615234375,25.078140258789062,121.65089416503906,167.07205200195312,58.99551773071289,53704400,2265400,6947400,19370900,41922700,4335800,3614400,14436100
2024-04-05,168.7830352783203,183.94105529785156,147.65316772460938,422.2958984375,25.08755111694336,121.69966888427734,166.63551330566406,59.34254837036133,42055200,2538800,6778100,16544300,39839500,5099600,2333200,10332300
